inst/#,actual,predicted,probability
506,0.0,0.000,0.8901808785529716
507,0.0,0.000,0.9923550647695901
508,0.0,0.000,0.9244164953440561
509,0.0,0.000,0.9923550647695901
510,0.0,0.000,0.9923550647695901
511,0.0,0.000,1.0
512,0.0,0.000,0.5948018747337026
513,0.0,0.000,0.9923550647695901
514,0.0,0.000,0.9244164953440561
515,0.0,0.000,0.9244164953440561
516,0.0,0.000,0.9244164953440561
517,0.0,0.000,0.5948018747337026
518,0.0,0.000,0.7284587378640777
519,0.0,0.000,0.9244164953440561
520,0.0,0.000,0.9923550647695901
521,0.0,0.000,0.9923550647695901
522,1.0,0.000,0.5948018747337026
523,0.0,0.000,0.5948018747337026
524,0.0,1.000,1.0
525,0.0,0.000,0.9244164953440561
526,0.0,0.000,0.9244164953440561
527,1.0,0.000,0.5948018747337026
528,1.0,0.000,0.7284587378640777
529,0.0,0.000,0.9244164953440561
530,0.0,0.000,0.9923550647695901
531,0.0,0.000,0.9923550647695901
532,0.0,0.000,0.9923550647695901
533,0.0,0.000,0.9244164953440561
534,0.0,0.000,0.5948018747337026
535,0.0,0.000,0.9923550647695901
536,0.0,0.000,0.9244164953440561
537,0.0,0.000,0.7284587378640777
538,0.0,0.000,0.7284587378640777
539,0.0,0.000,0.7284587378640777
540,0.0,0.000,0.9244164953440561
541,0.0,0.000,0.9244164953440561
542,1.0,0.000,0.8901808785529716
543,1.0,0.000,0.7284587378640777
544,1.0,0.000,0.7284587378640777
545,0.0,0.000,0.9244164953440561
546,0.0,0.000,0.7284587378640777
547,0.0,0.000,0.9923550647695901
548,1.0,0.000,0.7284587378640777
549,0.0,0.000,0.9923550647695901
550,0.0,0.000,0.5948018747337026
551,0.0,0.000,0.9244164953440561
552,0.0,0.000,0.9244164953440561
553,0.0,0.000,0.7284587378640777
554,0.0,0.000,0.9244164953440561
555,0.0,0.000,0.9244164953440561
556,0.0,0.000,0.9244164953440561
557,0.0,0.000,1.0
558,0.0,0.000,0.9244164953440561
559,0.0,1.000,0.625
560,1.0,0.000,0.5948018747337026
561,0.0,0.000,0.5948018747337026
562,0.0,0.000,0.9244164953440561
563,0.0,0.000,0.5948018747337026
564,1.0,1.000,0.625
565,0.0,0.000,0.9923550647695901
566,1.0,0.000,0.5
567,0.0,0.000,0.9923550647695901
568,0.0,0.000,0.9244164953440561
569,0.0,0.000,1.0
570,1.0,0.000,0.7284587378640777
571,0.0,0.000,0.9244164953440561
572,1.0,0.000,0.7272727272727273
573,0.0,0.000,0.875
574,0.0,0.000,0.9244164953440561
575,0.0,0.000,0.9
576,0.0,0.000,0.7284587378640777
577,0.0,0.000,0.9244164953440561
578,0.0,0.000,0.7284587378640777
579,1.0,0.000,1.0
580,0.0,0.000,0.9244164953440561
581,0.0,0.000,0.9244164953440561
582,0.0,0.000,0.9244164953440561
583,0.0,0.000,0.9244164953440561
584,0.0,0.000,0.7284587378640777
585,0.0,0.000,0.9244164953440561
586,1.0,0.000,0.5948018747337026
587,0.0,0.000,1.0
588,0.0,0.000,0.9244164953440561
589,0.0,0.000,0.5948018747337026
590,0.0,0.000,0.9244164953440561
591,0.0,0.000,0.9244164953440561
592,0.0,0.000,0.9244164953440561
593,0.0,0.000,0.9244164953440561
594,1.0,0.000,1.0
595,0.0,0.000,0.7284587378640777
596,0.0,0.000,0.9923550647695901
597,0.0,0.000,0.7272727272727273
598,0.0,0.000,0.9244164953440561
599,0.0,0.000,0.5948018747337026
600,0.0,0.000,0.9244164953440561
601,0.0,0.000,0.9244164953440561
602,0.0,0.000,0.7284587378640777
603,0.0,0.000,0.7284587378640777
604,0.0,0.000,0.9923550647695901
605,0.0,0.000,0.9923550647695901
606,0.0,0.000,0.5948018747337026
607,0.0,0.000,0.9244164953440561
608,1.0,0.000,1.0
609,0.0,0.000,0.9923550647695901
610,1.0,1.000,0.625
611,0.0,0.000,0.9244164953440561
612,0.0,0.000,0.9923550647695901
613,0.0,0.000,0.9244164953440561
614,0.0,0.000,0.9244164953440561
615,0.0,0.000,0.5948018747337026
616,0.0,0.000,0.9923550647695901
617,0.0,0.000,0.9244164953440561
618,0.0,0.000,0.9244164953440561
619,0.0,0.000,1.0
620,0.0,0.000,0.5948018747337026
621,1.0,0.000,0.7284587378640777
622,0.0,0.000,0.9244164953440561
623,0.0,0.000,0.5948018747337026
624,0.0,0.000,0.9923550647695901
625,0.0,0.000,0.7284587378640777
626,0.0,0.000,0.9923550647695901
627,0.0,0.000,0.9244164953440561
628,0.0,0.000,0.9244164953440561
629,0.0,0.000,0.9923550647695901
630,0.0,0.000,0.9244164953440561
631,1.0,0.000,0.7284587378640777
632,0.0,1.000,0.8333333333333334
633,0.0,0.000,0.7284587378640777
634,1.0,0.000,0.9244164953440561
635,1.0,0.000,0.5948018747337026
636,0.0,0.000,0.9244164953440561
637,0.0,0.000,0.9244164953440561
638,0.0,0.000,0.9923550647695901
639,0.0,0.000,0.5948018747337026
640,0.0,0.000,0.9244164953440561
641,0.0,0.000,0.9244164953440561
642,0.0,0.000,0.9923550647695901
643,0.0,0.000,0.9923550647695901
644,0.0,1.000,1.0
645,0.0,0.000,0.9923550647695901
646,0.0,0.000,0.9923550647695901
647,1.0,0.000,0.5948018747337026
648,1.0,0.000,0.5948018747337026
649,0.0,0.000,0.5948018747337026
650,0.0,0.000,0.9244164953440561
651,0.0,0.000,0.9244164953440561
652,0.0,0.000,0.9244164953440561
653,0.0,0.000,0.7284587378640777
654,1.0,0.000,0.9244164953440561
655,1.0,0.000,0.5948018747337026
656,0.0,0.000,0.9244164953440561
657,1.0,0.000,0.9244164953440561
658,0.0,0.000,0.9244164953440561
659,1.0,0.000,0.5948018747337026
660,0.0,0.000,0.9244164953440561
661,0.0,0.000,0.9244164953440561
662,1.0,0.000,0.7284587378640777
663,0.0,0.000,0.8901808785529716
664,0.0,0.000,0.9244164953440561
665,0.0,0.000,0.9923550647695901
666,0.0,0.000,0.9244164953440561
667,0.0,0.000,0.9244164953440561
668,0.0,0.000,0.9244164953440561
669,0.0,0.000,0.9244164953440561
670,0.0,0.000,1.0
671,0.0,0.000,0.9923550647695901
672,0.0,0.000,0.9923550647695901
673,0.0,0.000,0.7284587378640777
674,0.0,0.000,1.0
675,0.0,0.000,0.5948018747337026
676,0.0,0.000,0.9244164953440561
677,0.0,0.000,0.9923550647695901
678,0.0,0.000,0.8901808785529716
679,0.0,0.000,0.5948018747337026
680,0.0,0.000,0.9244164953440561
681,0.0,0.000,0.8901808785529716
682,0.0,0.000,0.9244164953440561
683,1.0,0.000,0.9244164953440561
684,0.0,0.000,0.9923550647695901
685,0.0,0.000,0.9923550647695901
686,0.0,0.000,0.875
687,0.0,0.000,0.7284587378640777
688,0.0,0.000,0.9244164953440561
689,1.0,0.000,0.5948018747337026
690,0.0,0.000,0.7284587378640777
691,0.0,0.000,0.9923550647695901
692,0.0,0.000,0.9244164953440561
693,0.0,0.000,0.7284587378640777
694,0.0,0.000,0.9923550647695901
695,1.0,0.000,0.5948018747337026
696,0.0,0.000,0.8901808785529716
697,0.0,0.000,0.9244164953440561
698,0.0,0.000,0.5948018747337026
699,0.0,0.000,0.7284587378640777
700,0.0,0.000,0.9244164953440561
701,0.0,0.000,0.9244164953440561
702,0.0,0.000,0.9244164953440561
703,1.0,0.000,0.7284587378640777
704,0.0,0.000,0.7284587378640777
705,0.0,1.000,1.0
706,0.0,0.000,0.9244164953440561
707,0.0,0.000,0.9923550647695901
708,0.0,0.000,0.9244164953440561
709,0.0,0.000,0.6666666666666666
710,1.0,0.000,0.5
711,1.0,0.000,0.7284587378640777
712,0.0,0.000,0.7284587378640777
713,0.0,0.000,0.9244164953440561
714,1.0,0.000,0.5948018747337026
715,0.0,0.000,0.9244164953440561
716,0.0,0.000,0.9244164953440561
717,0.0,0.000,0.9923550647695901
718,0.0,0.000,0.9923550647695901
719,0.0,0.000,0.9923550647695901
720,0.0,0.000,0.7284587378640777
721,0.0,0.000,0.9244164953440561
722,0.0,0.000,0.9923550647695901
723,0.0,0.000,0.9923550647695901
724,0.0,0.000,0.9923550647695901
725,0.0,0.000,0.7284587378640777
726,1.0,0.000,0.5948018747337026
727,0.0,0.000,0.9244164953440561
728,0.0,0.000,0.9244164953440561
729,0.0,0.000,0.8901808785529716
730,1.0,0.000,0.5948018747337026
731,0.0,0.000,0.9923550647695901
732,0.0,0.000,0.9244164953440561
733,0.0,0.000,1.0
734,0.0,0.000,0.9244164953440561
735,0.0,0.000,0.9923550647695901
736,1.0,0.000,0.7284587378640777
737,0.0,0.000,1.0
738,0.0,0.000,0.9923550647695901
739,0.0,0.000,0.9923550647695901
740,1.0,1.000,1.0
741,0.0,0.000,0.9244164953440561
742,0.0,0.000,0.9244164953440561
743,1.0,0.000,0.9244164953440561
744,0.0,0.000,0.9923550647695901
745,0.0,0.000,0.7284587378640777
746,0.0,0.000,0.8901808785529716
747,0.0,0.000,0.9244164953440561
748,0.0,0.000,0.7284587378640777
